,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Souillac,0,FR,1535002200,82,45.6,-0.6,66.2,2.24
1,Iquitos,20,PE,1535001780,94,-3.75,-73.25,69.8,3.36
2,Bideford,75,GB,1535001600,93,51.02,-4.21,60.8,10.29
3,Mataura,92,NZ,1535002759,97,-46.19,168.86,44.59,6.73
4,Hobart,20,AU,1535000400,50,-42.88,147.33,55.4,5.82
5,Brookings,1,US,1535001300,74,44.31,-96.8,64.4,11.41
6,Rubik,0,AL,1535001600,82,41.77,19.78,68.0,2.24
7,Plettenberg Bay,36,ZA,1535003014,100,-34.05,23.37,56.2,11.43
8,Berekum,92,GH,1535003014,99,7.45,-2.58,69.61,4.16
9,Punta Arenas,75,CL,1535000400,93,-53.16,-70.91,37.4,25.28
10,Nikolskoye,0,RU,1535000400,72,59.7,30.79,59.0,11.18
11,Kapaa,75,US,1535000160,81,22.08,-159.32,84.02,19.46
12,Bredasdorp,88,ZA,1535000400,81,-34.53,20.04,50.0,3.36
13,Lac du Bonnet,0,CA,1535003015,53,50.25,-96.06,64.84,13.44
14,Ciro Marina,40,IT,1535000100,93,39.37,17.13,55.4,28.86
15,Ushuaia,90,AR,1535000400,86,-54.81,-68.31,41.0,12.75
16,Hami,88,CN,1535003016,33,42.84,93.51,85.63,4.16
17,Iranshahr,0,IR,1535000400,10,27.21,60.69,100.4,4.7
18,Ancud,36,CL,1535003016,80,-41.87,-73.83,43.6,8.97
19,Bluff,0,AU,1535003017,20,-23.58,149.07,79.33,7.4
20,Rikitea,36,PF,1535003017,100,-23.12,-134.97,67.63,25.08
21,Teguldet,48,RU,1535003017,73,57.31,88.17,62.68,5.17
22,Honningsvag,75,NO,1534998000,81,70.98,25.97,46.4,8.05
23,Guaymas,80,MX,1535003019,69,27.92,-110.9,84.19,4.05
24,Atar,48,MR,1535003019,65,20.52,-13.05,77.89,2.59
25,Chepareria,80,KE,1535003019,97,1.32,35.2,59.44,1.36
26,Geraldton,40,CA,1535000400,82,49.72,-86.95,57.2,3.36
27,Hilo,90,US,1535000820,87,19.71,-155.08,77.0,8.05
28,Tuktoyaktuk,75,CA,1535000400,86,69.44,-133.03,37.4,5.82
29,Tasiilaq,0,GL,1534999800,80,65.61,-37.64,41.0,2.24
30,Arraial do Cabo,56,BR,1535002785,92,-22.97,-42.02,70.33,17.47
31,Maldonado,0,UY,1535000400,87,-34.91,-54.96,42.8,3.36
32,Uglovskoye,8,RU,1535003023,74,51.36,80.19,67.9,10.65
33,Jamestown,76,AU,1535003016,98,-33.21,138.6,49.18,8.97
34,Barrow,64,AR,1535003023,52,-38.31,-60.23,50.26,24.52
35,Busselton,64,AU,1535002762,100,-33.64,115.35,59.89,3.6
36,Palu,80,ID,1535003024,83,-0.9,119.87,73.84,1.7
37,Tilichiki,56,RU,1535003024,68,60.47,166.1,60.79,3.49
38,Severo-Kurilsk,32,RU,1535002837,88,50.68,156.12,55.66,1.92
39,Jiangkou,8,CN,1535003025,76,30.7,117.56,83.47,8.63
40,Beringovskiy,100,RU,1535003025,99,63.05,179.32,50.08,17.47
41,Bambous Virieux,40,MU,1535000400,61,-20.34,57.76,77.0,11.41
42,Porto Novo,20,BR,1535000400,82,-23.68,-45.44,62.6,2.93
43,Albany,75,US,1535000040,72,42.65,-73.75,66.02,5.82
44,Beira,75,ES,1535002200,100,43.2,-8.36,62.6,2.48
45,Sao Gabriel da Cachoeira,80,BR,1535003026,96,-0.13,-67.09,72.31,0.81
46,Ulladulla,75,AU,1535000400,54,-35.36,150.48,57.2,10.29
47,Saint George,0,GR,1535001600,53,39.45,22.34,73.4,6.93
48,Mecca,0,SA,1535002982,32,21.43,39.83,94.45,4.61
49,Katangli,100,RU,1535003027,95,51.71,143.23,54.31,8.19
50,Thinadhoo,76,MV,1535002776,99,0.53,72.93,83.83,10.76
51,Castro,76,CL,1535002905,88,-42.48,-73.76,43.06,9.64
52,Morrope,90,PE,1535000400,29,-6.54,-80.02,66.2,13.87
53,Yenagoa,92,NG,1535003028,96,4.92,6.26,73.21,6.29
54,Hermanus,32,ZA,1535003028,100,-34.42,19.24,43.24,2.71
55,Makasar,40,ID,1535002200,59,-6.28,106.88,89.6,12.75
56,Bethel,90,US,1534999980,92,60.79,-161.76,51.98,5.82
57,Nautla,92,MX,1535003029,100,20.22,-96.78,79.96,8.75
58,Maniitsoq,92,GL,1535003029,98,65.42,-52.9,40.0,10.65
59,Yanam,44,IN,1535003030,86,16.73,82.22,86.71,16.02
60,Hithadhoo,56,MV,1535002774,100,-0.6,73.08,82.21,4.61
61,Port Elizabeth,20,US,1535000160,89,39.31,-74.98,73.94,5.82
62,Raudeberg,75,NO,1535001600,87,61.99,5.14,53.6,12.75
63,Khatanga,0,RU,1535003030,87,71.98,102.47,59.98,4.38
64,Carnarvon,0,ZA,1535002846,65,-30.97,22.13,27.13,2.93
65,Thompson,90,CA,1535000400,49,55.74,-97.86,48.2,24.16
66,Yurimaguas,32,PE,1535003031,95,-5.9,-76.1,70.51,1.92
67,Rio de Janeiro,75,BR,1535000400,94,-22.91,-43.21,71.6,4.7
68,Arlit,0,NE,1535003031,59,18.74,7.39,80.14,9.19
69,Palana,12,RU,1535003032,73,59.08,159.95,56.83,3.49
70,Praia,24,BR,1535003032,86,-20.25,-43.81,51.88,5.39
71,Chokurdakh,0,RU,1535003032,69,70.62,147.9,54.04,8.41
72,Mar del Plata,0,AR,1535003032,57,-46.43,-67.52,49.09,21.27
73,Cape Town,92,ZA,1535003033,100,-33.93,18.42,54.85,5.73
74,Turukhansk,20,RU,1535002780,69,65.8,87.96,63.13,18.48
75,Vaini,92,IN,1535002758,99,15.34,74.49,72.04,9.75
76,Dikson,8,RU,1535003033,88,73.51,80.55,47.83,6.73
77,Srednekolymsk,0,RU,1535003033,61,67.46,153.71,58.18,3.27
78,Ust-Kuyga,64,RU,1535003034,95,70.0,135.55,53.14,4.38
79,Rongcheng,92,CN,1535003034,96,37.16,122.42,76.9,20.38
80,Hukuntsi,0,BW,1535003034,30,-23.98,21.76,46.03,4.27
81,Codrington,80,AU,1535003034,54,-28.95,153.24,63.76,2.93
82,Petropavlovsk-Kamchatskiy,0,RU,1535000400,62,53.05,158.65,59.0,13.42
83,Victoria,75,BN,1535002200,70,5.28,115.24,89.6,4.7
84,New Norfolk,20,AU,1535000400,50,-42.78,147.06,55.4,5.82
85,Puerto Ayora,20,EC,1535002760,100,-0.74,-90.35,71.14,13.0
86,Brewster,1,US,1535001300,88,41.76,-70.08,69.08,4.7
87,College,90,US,1535000880,76,64.86,-147.8,54.32,4.7
88,Lebu,80,ET,1535002797,99,8.96,38.73,56.47,3.94
89,Bathsheba,40,BB,1535000400,78,13.22,-59.52,80.6,19.46
90,Cabo San Lucas,5,MX,1534999260,58,22.89,-109.91,82.4,9.98
91,Kulhudhuffushi,24,MV,1535003036,98,6.62,73.07,83.38,15.23
92,Clyde River,90,CA,1535000400,100,70.47,-68.59,37.4,6.93
93,Cidreira,88,BR,1535003037,99,-30.17,-50.22,52.96,17.25
94,Oranjemund,0,ZA,1535003037,99,-28.55,16.43,55.3,18.48
95,Atuona,0,PF,1535003037,99,-9.8,-139.03,80.5,11.32
96,East Hemet,1,US,1535002500,62,33.74,-116.94,78.08,2.48
97,Marsh Harbour,0,BS,1535003038,100,26.54,-77.06,82.48,10.42
98,Ngunguru,20,NZ,1535003038,100,-35.62,174.5,56.56,17.47
99,Nanortalik,88,GL,1535002829,94,60.14,-45.24,41.8,15.9
100,Saint-Philippe,1,CA,1535002500,82,45.36,-73.48,60.8,3.36
101,Alofi,68,NU,1535000400,78,-19.06,-169.92,75.2,4.7
102,Fallon,1,US,1535000160,56,46.84,-105.12,68.0,3.36
103,Georgetown,40,GY,1535000400,100,6.8,-58.16,75.2,4.7
104,Viedma,92,AR,1535003039,29,-40.81,-62.99,60.61,21.16
105,Samana,24,EC,1535003040,98,0.12,-76.97,68.44,2.15
106,Saskylakh,44,RU,1535003040,89,71.97,114.09,59.08,9.31
107,Kaitangata,92,NZ,1535003040,95,-46.28,169.85,44.77,5.95
108,Meulaboh,100,ID,1535003040,100,4.14,96.13,77.98,2.04
109,Adrar,0,DZ,1535000400,28,27.87,-0.29,86.0,18.34
110,Iqaluit,90,CA,1535000400,93,63.75,-68.52,42.8,13.87
111,Falmouth,90,GB,1534999800,100,50.16,-5.07,60.8,6.93
112,Port Alfred,0,ZA,1535002775,100,-33.59,26.89,55.39,8.63
113,Cockburn Town,12,TC,1535002849,98,21.46,-71.14,83.11,19.82
114,San Andres,0,PH,1535003042,93,13.32,122.68,85.0,22.17
115,Kijang,75,KR,1535000400,62,35.24,129.21,87.8,24.16
116,Asekeyevo,12,RU,1535003042,81,53.57,52.8,61.6,11.21
117,Port Macquarie,12,AU,1535000400,51,-31.43,152.91,62.6,11.41
118,Saldanha,0,PT,1535003022,89,41.42,-6.55,56.92,2.59
119,Ribeira Grande,12,PT,1535003043,100,38.52,-28.7,73.66,13.78
120,Camocim,36,BR,1535002908,92,-2.9,-40.84,74.38,11.43
121,Kupang,40,ID,1535002200,46,-10.16,123.6,89.6,6.93
122,Hambantota,56,LK,1535003044,87,6.12,81.12,83.74,18.25
123,Mahibadhoo,36,MV,1535003044,100,3.78,72.97,82.84,11.65
124,Dingle,36,PH,1535003044,69,11.0,122.67,85.9,11.77
125,Saint Andrews,88,NZ,1535003044,100,-44.53,171.19,40.54,3.38
126,Aykhal,0,RU,1535003045,81,65.95,111.51,54.49,8.86
127,Jinchang,48,CN,1535003045,66,38.52,102.19,69.97,6.62
128,Rocha,0,UY,1535003046,84,-34.48,-54.34,33.97,3.38
129,Alencon,20,FR,1535002200,88,48.43,0.08,62.6,3.36
130,Hirado,75,JP,1535000400,66,33.32,129.49,89.6,8.05
131,Guerrero Negro,56,MX,1535002856,97,27.97,-114.04,70.33,6.96
132,Zyryanka,0,RU,1535003046,55,65.73,150.89,59.71,4.38
133,Areosa,90,PT,1535002200,100,41.72,-8.86,60.8,2.24
134,Faya,0,SA,1535000400,23,18.39,42.45,77.0,3.36
135,San Jose,92,PH,1535002998,99,15.79,120.99,75.64,4.38
136,Amahai,92,ID,1535003049,100,-3.31,129.0,78.07,10.2
137,Yellowknife,75,CA,1535000400,61,62.45,-114.38,46.4,6.93
138,Jumla,80,NP,1535003049,97,29.28,82.18,49.99,1.59
139,Tabat,48,ID,1535003049,73,-2.64,115.23,85.18,2.93
140,Porbandar,92,IN,1535003050,91,21.64,69.61,80.05,19.71
