,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Saint-Philippe,1,CA,1535207700,66,45.36,-73.48,75.2,5.82
1,Mataura,0,NZ,1535209757,96,-46.19,168.86,36.89,7.74
2,Novolabinskaya,0,RU,1535207400,40,45.11,39.9,87.8,8.95
3,Barrow,0,AR,1535209598,66,-38.31,-60.23,51.29,10.09
4,Ushuaia,40,AR,1535205600,60,-54.81,-68.31,41.0,13.87
5,Hasaki,75,JP,1535207400,88,35.73,140.83,80.6,2.24
6,Tura,80,IN,1535209537,90,25.52,90.21,81.8,2.15
7,Tucupita,12,VE,1535209833,75,9.06,-62.05,85.4,7.74
8,Bluff,80,AU,1535209833,92,-23.58,149.07,60.38,8.75
9,Filadelfia,0,PY,1535209834,44,-22.35,-60.04,65.42,11.99
10,Saint George,40,GR,1535206800,58,39.45,22.34,84.2,13.87
11,Vaini,88,IN,1535209834,98,15.34,74.49,67.67,5.61
12,Pacific Grove,90,US,1535207700,93,36.62,-121.92,57.92,3.15
13,Sulya,100,IN,1535209835,100,12.56,75.39,70.55,1.92
14,Vostok,92,RU,1535209835,86,46.45,135.83,54.26,2.15
15,Cape Town,75,ZA,1535205600,82,-33.93,18.42,57.2,34.45
16,Hukuntsi,0,BW,1535209836,14,-23.98,21.76,83.51,9.42
17,Punta Arenas,40,CL,1535205600,70,-53.16,-70.91,42.8,11.41
18,College,90,US,1535205480,94,64.86,-147.8,48.02,5.82
19,Port Elizabeth,1,US,1535208900,57,39.31,-74.98,78.08,5.82
20,Upernavik,48,GL,1535209837,91,72.79,-56.15,41.57,24.74
21,Hermanus,8,ZA,1535209837,59,-34.42,19.24,58.22,18.7
22,Nagua,20,DO,1535205600,83,19.37,-69.85,82.4,9.17
23,Aksarka,20,RU,1535209838,49,66.56,67.8,55.34,16.24
24,Kapaa,90,US,1535207580,96,22.08,-159.32,77.0,19.46
25,Mehamn,92,NO,1535209572,98,71.03,27.85,54.8,3.49
26,Wonthaggi,0,AU,1535209839,91,-38.6,145.59,37.07,2.15
27,Hrinova,20,SK,1535207400,49,48.58,19.53,71.6,5.82
28,Busselton,24,AU,1535209839,100,-33.64,115.35,53.18,6.96
29,Rikitea,88,PF,1535209840,100,-23.12,-134.97,71.81,12.44
30,Castro,92,CL,1535209841,99,-42.48,-73.76,50.75,5.39
31,Luanda,0,AO,1535205600,73,-8.83,13.24,75.2,9.17
32,The Valley,20,AI,1535205600,66,18.22,-63.06,84.2,16.11
33,Barentu,80,ER,1535209841,84,15.11,37.59,75.5,2.59
34,Khatanga,0,RU,1535209842,67,71.98,102.47,52.82,10.09
35,Praia,0,BR,1535205600,50,-20.25,-43.81,77.0,6.93
36,Narsaq,75,GL,1535208600,75,60.91,-46.05,46.4,1.7
